ros_time_sec,frame_id,bus_voltage,shunt_voltage,current,power
0.0,,5.427499771118164,-9.999999747378752e-06,0.0,0.0
0.0,,5.4375,-7.499999810534064e-06,0.0,0.0
0.0,,5.394999980926514,-7.499999810534064e-06,0.0,0.0
0.0,,5.421249866485596,-4.999999873689376e-06,0.0,0.0
0.0,,5.418749809265137,-7.499999810534064e-06,0.0,0.0
0.0,,5.416249752044678,-4.999999873689376e-06,0.0,0.0
0.0,,5.423749923706055,-7.499999810534064e-06,0.0,0.0
0.0,,5.420000076293945,-7.499999810534064e-06,0.0,0.0
0.0,,5.426249980926514,-7.499999810534064e-06,0.0,0.0
0.0,,5.416249752044678,-7.499999810534064e-06,0.0,0.0
0.0,,5.422499656677246,-7.499999810534064e-06,0.0,0.0
0.0,,5.409999847412109,-9.999999747378752e-06,0.0,0.0
0.0,,5.427499771118164,-9.999999747378752e-06,0.0,0.0
0.0,,5.414999961853027,-7.499999810534064e-06,0.0,0.0
0.0,,5.423749923706055,-7.499999810534064e-06,0.0,0.0
0.0,,5.426249980926514,-7.499999810534064e-06,0.0,0.0
0.0,,5.424999713897705,-7.499999810534064e-06,0.0,0.0
0.0,,5.421249866485596,-7.499999810534064e-06,0.0,0.0
0.0,,5.418749809265137,-9.999999747378752e-06,0.0,0.0
0.0,,5.418749809265137,-7.499999810534064e-06,0.0,0.0
0.0,,5.377500057220459,-4.999999873689376e-06,0.0,0.0
0.0,,5.441249847412109,-4.999999873689376e-06,0.0,0.0
0.0,,5.391249656677246,-7.499999810534064e-06,0.0,0.0
0.0,,5.440000057220459,-7.499999810534064e-06,0.0,0.0
0.0,,5.40625,-7.499999810534064e-06,0.0,0.0
0.0,,5.421249866485596,-7.499999810534064e-06,0.0,0.0
0.0,,5.408750057220459,-4.999999873689376e-06,0.0,0.0
0.0,,5.420000076293945,-4.999999873689376e-06,0.0,0.0
0.0,,5.40749979019165,-4.999999873689376e-06,0.0,0.0
0.0,,5.408750057220459,-9.999999747378752e-06,0.0,0.0
0.0,,5.402499675750732,-7.499999810534064e-06,0.0,0.0
0.0,,5.403749942779541,-7.499999810534064e-06,0.0,0.0
0.0,,5.40625,-7.499999810534064e-06,0.0,0.0
0.0,,5.40749979019165,-4.999999873689376e-06,0.0,0.0
0.0,,5.416249752044678,-9.999999747378752e-06,0.0,0.0
